,Name,Rating,Genre,Release Date,Runtime,Director,Url
1782,Beyond the Boundary: I'll Be Here – Past,69.0,"Animation, Fantasy, Action, Drama, Comedy",03/15/2015,1h 22m,Taichi Ishidate,https://www.themoviedb.org/movie/311056
1783,Robert Reborn,43.0,Horror,04/05/2022,1h 25m,Andrew Jones,https://www.themoviedb.org/movie/586097
1784,The Rite,61.0,"Drama, Thriller, Horror",01/28/2011,1h 54m,Mikael Håfström,https://www.themoviedb.org/movie/48171
1785,3-D Sex and Zen: Extreme Ecstasy,46.0,"Drama, Adventure, Romance",04/14/2011,1h 58m,Christopher Sun,https://www.themoviedb.org/movie/67308
1786,A Dog's Way Home,73.0,"Drama, Adventure, Family",01/11/2019,1h 36m,Charles Martin Smith,https://www.themoviedb.org/movie/508763
1787,Alvin and the Chipmunks: The Squeakquel,56.0,"Comedy, Family, Animation, Fantasy, Music",12/23/2009,1h 28m,Ross Bagdasarian,https://www.themoviedb.org/movie/23398
1788,We're the Millers,68.0,"Comedy, Crime",08/30/2013,1h 50m,Steve Faber,https://www.themoviedb.org/movie/138832
1789,So Undercover,62.0,"Action, Comedy",12/06/2012,1h 34m,Tom Vaughan,https://www.themoviedb.org/movie/93837
1790,Willy Wonka & the Chocolate Factory,75.0,"Family, Fantasy, Comedy",06/30/1971,1h 40m,Roald Dahl,https://www.themoviedb.org/movie/252
1791,The Lego Movie,74.0,"Adventure, Animation, Comedy, Family, Fantasy",02/07/2014,1h 40m,Phil Lord,https://www.themoviedb.org/movie/137106
1792,The Heist of the Century,79.0,"Comedy, Thriller, Crime",01/16/2020,1h 54m,Ariel Winograd,https://www.themoviedb.org/movie/609242
1793,Guardians,49.0,"Action, Fantasy, Science Fiction",02/24/2017,1h 40m,Sarik Andreasyan,https://www.themoviedb.org/movie/354556
1794,Cranston Academy: Monster Zone,63.0,"Adventure, Science Fiction, Animation, Fantasy, Horror",04/29/2020,1h 20m,Leopoldo Aguilar,https://www.themoviedb.org/movie/627661
1795,Female Doctor: Flesh Slave,20,Crime,03/08/1986,1h 8m,,https://www.themoviedb.org/movie/405869
1796,Epic,65.0,"Animation, Adventure, Family, Fantasy",05/24/2013,1h 42m,Chris Wedge,https://www.themoviedb.org/movie/116711
1797,The Hot Chick,63.0,"Comedy, Fantasy",12/13/2002,1h 44m,Tom Brady,https://www.themoviedb.org/movie/11852
1798,Dragonheart 3: The Sorcerer's Curse,54.0,Fantasy,02/24/2015,1h 37m,Colin Teague,https://www.themoviedb.org/movie/300803
1799,The Indian in the Cupboard,64.0,"Adventure, Family, Fantasy",07/14/1995,1h 36m,Frank Oz,https://www.themoviedb.org/movie/11359
1800,The Transporter Refueled,55.0,"Action, Thriller, Crime",09/04/2015,1h 36m,Luc Besson,https://www.themoviedb.org/movie/287948
1801,Father Christmas Is Back,47.0,"Comedy, Family",11/07/2021,1h 45m,Philippe Martinez,https://www.themoviedb.org/movie/762469
1802,Together Together,68.0,Comedy,04/23/2021,1h 30m,Nikole Beckwith,https://www.themoviedb.org/movie/776515
1803,The Osiris Child,54.0,Science Fiction,02/17/2016,1h 35m,Shane Abbess,https://www.themoviedb.org/movie/354282
1804,Cherry Magic! THE MOVIE,0,"Comedy, Romance",04/08/2022,,Hiroki Kazama,https://www.themoviedb.org/movie/926916
1805,The Evil Dead,73.0,Horror,10/15/1981,1h 25m,Sam Raimi,https://www.themoviedb.org/movie/764
1806,Shooter,71.0,"Action, Drama, Mystery, Thriller, Crime",03/22/2007,2h 4m,Antoine Fuqua,https://www.themoviedb.org/movie/7485
1807,Where the Wild Things Are,65.0,"Family, Fantasy, Science Fiction, Drama",10/16/2009,1h 41m,Spike Jonze,https://www.themoviedb.org/movie/16523
1808,28 Days Later,72.0,"Horror, Thriller, Science Fiction",06/27/2003,1h 53m,Danny Boyle,https://www.themoviedb.org/movie/170
1809,The Goonies,75.0,"Adventure, Comedy, Family",06/07/1985,1h 54m,Richard Donner,https://www.themoviedb.org/movie/9340
1810,I Spit on Your Grave 2,63.0,"Thriller, Horror, Crime",08/25/2013,1h 46m,Steven R. Monroe,https://www.themoviedb.org/movie/207768
1811,Tracers,61.0,Action,03/20/2015,1h 34m,Matt Johnson,https://www.themoviedb.org/movie/290764
1812,Batman & Robin,43.0,"Science Fiction, Action, Fantasy",06/20/1997,2h 5m,Bob Kane,https://www.themoviedb.org/movie/415
1813,Scandalous Sex,72.0,Drama,01/01/2004,1h 31m,Rex Ryder,https://www.themoviedb.org/movie/518244
1814,The Invisible Guest,81.0,"Drama, Mystery, Thriller",01/06/2017,1h 47m,Oriol Paulo,https://www.themoviedb.org/movie/411088
1815,Innocent Witness,78.0,Drama,02/13/2019,2h 9m,Lee Han,https://www.themoviedb.org/movie/570508
1816,Friday the 13th,58.0,Horror,02/13/2009,1h 37m,Mark Swift,https://www.themoviedb.org/movie/13207
1817,The Watch,55.0,"Comedy, Action, Science Fiction",07/27/2012,1h 42m,Akiva Schaffer,https://www.themoviedb.org/movie/80035
1818,Kingsglaive: Final Fantasy XV,68.0,"Animation, Science Fiction, Action",07/09/2016,1h 55m,Takeshi Nozue,https://www.themoviedb.org/movie/390734
1819,Dragon Ball: Plan to Eradicate the Super Saiyans,71.0,"Action, Animation, Adventure",11/11/2010,30m,Akira Toriyama,https://www.themoviedb.org/movie/89636
1820,Lassie Come Home,66.0,"Adventure, Family",02/20/2020,1h 40m,Hanno Olderdissen,https://www.themoviedb.org/movie/657811
1821,Hunter Killer,68.0,"Action, Thriller",10/26/2018,2h 1m,Donovan Marsh,https://www.themoviedb.org/movie/399402
1822,Love and Monsters,74.0,"Comedy, Action, Adventure, Fantasy",10/16/2020,1h 49m,Brian Duffield,https://www.themoviedb.org/movie/590223
1823,Looper,69.0,"Action, Thriller, Science Fiction",10/12/2012,1h 58m,Rian Johnson,https://www.themoviedb.org/movie/59967
1824,The Shadow in My Eye,76.0,"War, Drama, History",10/28/2021,1h 47m,Ole Bornedal,https://www.themoviedb.org/movie/650031
1825,Halo,20,Drama,06/01/2019,16m,Michael-David McKernan,https://www.themoviedb.org/movie/770523
1826,Ghost in the Shell,60,"Science Fiction, Action",04/07/2017,1h 47m,Rupert Sanders,https://www.themoviedb.org/movie/315837
1827,In This Corner of the World,81.0,"Drama, Animation, Romance, War, History",11/12/2016,2h 10m,Sunao Katabuchi,https://www.themoviedb.org/movie/378108
1828,Hot Girls Wanted,59.0,Documentary,05/29/2015,1h 24m,Ronna Gradus,https://www.themoviedb.org/movie/318256
1829,The Boy,59.0,"Horror, Thriller, Mystery",01/22/2016,1h 37m,William Brent Bell,https://www.themoviedb.org/movie/321258
1830,The Mitchells vs. the Machines,80,"Animation, Adventure, Comedy",04/30/2021,1h 50m,Michael Rianda,https://www.themoviedb.org/movie/501929
1831,Hacker,63.0,"Crime, Drama, Thriller",09/15/2016,1h 35m,Akan Satayev,https://www.themoviedb.org/movie/413052
1832,Night at the Museum: Secret of the Tomb,62.0,"Adventure, Comedy, Fantasy, Family",12/19/2014,1h 38m,Milan Trenc,https://www.themoviedb.org/movie/181533
1833,Horton Hears a Who!,65.0,"Animation, Comedy, Family, Adventure, Fantasy",03/03/2008,1h 26m,Jimmy Hayward,https://www.themoviedb.org/movie/12222
1834,Little Women,79.0,"Drama, Romance",12/25/2019,2h 15m,Greta Gerwig,https://www.themoviedb.org/movie/331482
1835,Funny People,58.0,"Comedy, Drama",07/31/2009,2h 26m,Judd Apatow,https://www.themoviedb.org/movie/20829
1836,Bad Boys II,66.0,"Adventure, Action, Comedy, Thriller, Crime",07/18/2003,2h 27m,Ron Shelton,https://www.themoviedb.org/movie/8961
1837,Crawl,63.0,"Thriller, Horror, Action",07/12/2019,1h 28m,Alexandre Aja,https://www.themoviedb.org/movie/511987
1838,The Rugrats Movie,62.0,"Family, Animation, Comedy, Adventure",11/20/1998,1h 19m,Norton Virgien,https://www.themoviedb.org/movie/14444
1839,Men of Honor,74.0,Drama,02/09/2001,2h 9m,"George Tillman, Jr.",https://www.themoviedb.org/movie/11978
1840,Pearl Harbor,69.0,"Action, War, History, Romance, Drama",05/21/2001,3h 3m,Michael Bay,https://www.themoviedb.org/movie/676
1841,Bram Stoker's Dracula,74.0,"Romance, Horror",11/13/1992,2h 8m,Francis Ford Coppola,https://www.themoviedb.org/movie/6114
1842,A Naija Christmas,70,"Comedy, Romance",12/16/2021,2h 1m,Kunle Afolayan,https://www.themoviedb.org/movie/882102
1843,Barbie Mariposa,67.0,"Animation, Fantasy, Family",02/26/2008,1h 15m,Conrad Helten,https://www.themoviedb.org/movie/18198
1844,Barbie as the Island Princess,72.0,"Animation, Family",09/18/2007,1h 26m,Greg Richardson,https://www.themoviedb.org/movie/13283
1845,Pocahontas II: Journey to a New World,55.0,"Family, Adventure, Animation, Romance",08/04/1998,1h 12m,Bradley Raymond,https://www.themoviedb.org/movie/13761
1846,The Happening,53.0,"Thriller, Science Fiction",06/13/2008,1h 31m,M. Night Shyamalan,https://www.themoviedb.org/movie/8645
1847,Space Pirate Captain Harlock,66.0,"Animation, Science Fiction",09/07/2013,1h 55m,Shinji Aramaki,https://www.themoviedb.org/movie/192577
1848,Tower Heist,60,"Action, Comedy",11/04/2011,1h 44m,Ted Griffin,https://www.themoviedb.org/movie/59108
1849,Cloverfield,66.0,"Action, Thriller, Science Fiction",01/15/2008,1h 25m,Matt Reeves,https://www.themoviedb.org/movie/7191
1850,The Rebound,65.0,"Romance, Comedy",09/16/2009,1h 35m,Bart Freundlich,https://www.themoviedb.org/movie/24122
1851,Ben-Hur,57.0,"Action, History, Adventure, Drama",08/19/2016,2h 5m,Timur Bekmambetov,https://www.themoviedb.org/movie/271969
1852,Facing the Giants,75.0,Drama,09/29/2006,1h 51m,Alex Kendrick,https://www.themoviedb.org/movie/18925
1853,Ghosts of War,61.0,"Horror, Thriller, War, Fantasy",07/03/2020,1h 34m,Eric Bress,https://www.themoviedb.org/movie/608195
1854,Paul Blart: Mall Cop,54.0,"Action, Adventure, Comedy, Family",01/15/2009,1h 31m,Steve Carr,https://www.themoviedb.org/movie/14560
1855,Initiation,57.0,"Horror, Mystery",10/08/2020,1h 36m,John Berardo,https://www.themoviedb.org/movie/611489
1856,Addams Family Values,69.0,"Comedy, Family, Fantasy",11/19/1993,1h 34m,Charles Addams,https://www.themoviedb.org/movie/2758
1857,The Corpse of Anna Fritz,70,"Drama, Thriller",10/30/2015,1h 16m,Hèctor Hernández Vicens,https://www.themoviedb.org/movie/323372
1858,Underworld: Evolution,66.0,"Fantasy, Action, Thriller",01/20/2006,1h 46m,Len Wiseman,https://www.themoviedb.org/movie/834
1859,Get the Gringo,65.0,"Action, Thriller, Crime, Drama",06/22/2012,1h 36m,Adrian Grünberg,https://www.themoviedb.org/movie/80389
1860,Rocky III,68.0,Drama,05/28/1982,1h 39m,Sylvester Stallone,https://www.themoviedb.org/movie/1371
1861,Leprechaun: Back 2 tha Hood,52.0,"Horror, Comedy",12/30/2003,1h 30m,Steven Ayromlooi,https://www.themoviedb.org/movie/19288
1862,90 Minutes in Heaven,61.0,Drama,09/11/2015,2h 1m,Michael Polish,https://www.themoviedb.org/movie/343795
1863,The Last King,57.0,"Action, Adventure, Drama, History",02/16/2016,1h 40m,Nils Gaup,https://www.themoviedb.org/movie/360249
1864,The Gentlemen,77.0,"Crime, Action, Comedy",01/24/2020,1h 53m,Guy Ritchie,https://www.themoviedb.org/movie/522627
1865,Die goldene Banane von Bad Porno,52.0,Comedy,08/26/1971,1h 35m,Ralf Gregan,https://www.themoviedb.org/movie/265147
1866,A Nightmare on Elm Street,73.0,Horror,11/16/1984,1h 31m,Wes Craven,https://www.themoviedb.org/movie/377
1867,Justice League vs. Teen Titans,74.0,"Science Fiction, Action, Animation",05/13/2016,1h 18m,Bryan Q. Miller,https://www.themoviedb.org/movie/379291
1868,Scott Pilgrim vs. the World,75.0,"Action, Comedy, Fantasy, Romance",08/25/2010,1h 52m,Edgar Wright,https://www.themoviedb.org/movie/22538
1869,"As Above, So Below",67.0,"Horror, Thriller",08/29/2014,1h 33m,John Erick Dowdle,https://www.themoviedb.org/movie/256274
1870,Cult of Chucky,58.0,"Horror, Thriller",10/23/2017,1h 31m,Don Mancini,https://www.themoviedb.org/movie/393345
1871,Piranha 3D,54.0,"Comedy, Horror",08/20/2010,1h 28m,Alexandre Aja,https://www.themoviedb.org/movie/43593
1872,The Boy Who Killed My Parents,64.0,"Crime, Drama, Thriller",09/24/2021,1h 28m,Maurício Eça,https://www.themoviedb.org/movie/800305
1873,Green Lantern: Emerald Knights,67.0,"Action, Adventure, Animation, Science Fiction, Drama",06/07/2011,1h 24m,Jay Oliva,https://www.themoviedb.org/movie/65291
1874,Dog Years,63.0,"Romance, Comedy",10/22/2021,1h 37m,Fabio Mollo,https://www.themoviedb.org/movie/806950
1875,Fever Dream,59.0,"Thriller, Drama, Mystery, Horror",10/06/2021,1h 33m,Claudia Llosa,https://www.themoviedb.org/movie/595280
1876,LEGO Hidden Side: Night of the Harbinger,61.0,Animation,10/31/2020,44m,Michael D. Black,https://www.themoviedb.org/movie/891657
1877,Doraemon: New Nobita's Great Demon – Peko and the Exploration Party of Five,70,"Family, Animation, Adventure",03/08/2014,1h 49m,Shinnosuke Yakuwa,https://www.themoviedb.org/movie/285812
1878,Jigsaw,62.0,"Horror, Crime, Mystery, Thriller",10/27/2017,1h 32m,Peter Spierig,https://www.themoviedb.org/movie/298250
1879,Madres,61.0,Horror,10/08/2021,1h 23m,Ryan Zaragoza,https://www.themoviedb.org/movie/796428
1880,Step Up 2: The Streets,67.0,"Music, Drama, Romance",02/14/2008,1h 38m,Jon M. Chu,https://www.themoviedb.org/movie/8328
1881,Hostel,59.0,Horror,01/06/2006,1h 34m,Eli Roth,https://www.themoviedb.org/movie/1690
1882,Men in Black II,63.0,"Action, Adventure, Comedy, Science Fiction",08/02/2002,1h 28m,Robert Gordon,https://www.themoviedb.org/movie/608
1883,Skyscraper,63.0,"Action, Thriller",07/13/2018,1h 42m,Rawson Marshall Thurber,https://www.themoviedb.org/movie/447200
1884,Searching,76.0,"Thriller, Mystery, Drama",08/31/2018,1h 42m,Aneesh Chaganty,https://www.themoviedb.org/movie/489999
1885,Can't Live Without You,0,Thriller,06/03/2022,1h 31m,Chus Gutiérrez,https://www.themoviedb.org/movie/921959
1886,Turbo: A Power Rangers Movie,57.0,"Action, Adventure, Family, Fantasy, Science Fiction, Thriller",03/27/1997,1h 39m,Shuki Levy,https://www.themoviedb.org/movie/6499
1887,Wonder,82.0,"Drama, Family",12/01/2017,1h 53m,Stephen Chbosky,https://www.themoviedb.org/movie/406997
1888,Heat,79.0,"Action, Crime, Drama, Thriller",12/15/1995,2h 50m,Michael Mann,https://www.themoviedb.org/movie/949
1889,"Me, Myself & Irene",66.0,Comedy,08/25/2000,1h 56m,Peter Farrelly,https://www.themoviedb.org/movie/2123
1890,Resident Evil: Damnation,68.0,"Animation, Horror, Action",09/25/2012,1h 40m,Makoto Kamiya,https://www.themoviedb.org/movie/133121
1891,Ong Bak 2,64.0,"Adventure, Action, Thriller",12/04/2008,1h 38m,Tony Jaa,https://www.themoviedb.org/movie/16353
1892,The Exorcism of Emily Rose,65.0,"Crime, Drama, Horror, Thriller",09/09/2005,2h 2m,Scott Derrickson,https://www.themoviedb.org/movie/8643
1893,The Empty Man,61.0,"Horror, Mystery, Thriller",10/23/2020,2h 17m,David Prior,https://www.themoviedb.org/movie/516632
1894,Pinocchio,66.0,"Fantasy, Adventure, Drama",08/14/2020,2h 5m,Matteo Garrone,https://www.themoviedb.org/movie/413518
1895,1917,80,"War, Drama, Action, Thriller",01/17/2020,1h 59m,Sam Mendes,https://www.themoviedb.org/movie/530915
1896,Step Up All In,68.0,"Romance, Drama, Music",08/08/2014,1h 52m,Duane Adler,https://www.themoviedb.org/movie/243683
1897,The Unfamiliar,60,"Thriller, Horror",08/19/2021,1h 29m,Henk Pretorius,https://www.themoviedb.org/movie/675490
1898,A-X-L,63.0,"Science Fiction, Action, Adventure, Family",08/24/2018,1h 38m,Oliver Daly,https://www.themoviedb.org/movie/438590
1899,Scooby-Doo! Curse of the Lake Monster,62.0,"Mystery, Fantasy, Comedy, Adventure",10/15/2010,1h 20m,Brian Levant,https://www.themoviedb.org/movie/47533
1900,Justice League Dark: Apokolips War,84.0,"Animation, Action, Adventure, Fantasy, Science Fiction",05/05/2020,1h 30m,Mairghread Scott,https://www.themoviedb.org/movie/618344
1901,The Hustle,63.0,Comedy,05/10/2019,1h 34m,Stanley Shapiro,https://www.themoviedb.org/movie/449562
1902,Barbie: The Princess & The Popstar,71.0,"Family, Animation",09/30/2012,1h 26m,Ezekiel Norton,https://www.themoviedb.org/movie/129533
1903,Into the Wind,53.0,"Comedy, Drama, Romance",02/10/2022,1h 48m,Julian Kijowski,https://www.themoviedb.org/movie/933547
1904,Xtreme,66.0,"Action, Adventure, Crime",06/04/2021,1h 51m,Daniel Benmayor,https://www.themoviedb.org/movie/726429
1905,Star Trek Into Darkness,73.0,"Action, Adventure, Science Fiction",05/16/2013,2h 12m,Gene Roddenberry,https://www.themoviedb.org/movie/54138
1906,Naruto: Legend of the Stone of Gelel,66.0,"Animation, Adventure, Fantasy",08/06/2005,1h 36m,Hirotsugu Kawasaki,https://www.themoviedb.org/movie/16910
1907,Checkered Ninja,73.0,"Animation, Comedy, Adventure, Fantasy, Family",12/25/2018,1h 21m,Anders Matthesen,https://www.themoviedb.org/movie/523536
1908,The Skin I Live In,75.0,"Thriller, Drama, Horror",09/02/2011,2h,Pedro Almodóvar,https://www.themoviedb.org/movie/63311
1909,Man on Fire,74.0,"Action, Drama, Thriller",08/13/2004,2h 26m,Tony Scott,https://www.themoviedb.org/movie/9509
1910,Rampant,68.0,"Action, Horror, Drama, Fantasy",10/25/2018,2h 2m,Kim Sung-hoon,https://www.themoviedb.org/movie/537190
1911,His House,65.0,"Drama, Horror, Thriller",10/30/2020,1h 33m,Remi Weekes,https://www.themoviedb.org/movie/575774
1912,Mr. Popper's Penguins,59.0,"Comedy, Family",06/17/2011,1h 34m,Mark Waters,https://www.themoviedb.org/movie/58224
1913,One Piece: Curse of the Sacred Sword,71.0,"Animation, Adventure, Action",03/06/2004,1h 35m,Eiichiro Oda,https://www.themoviedb.org/movie/44728
1914,Romance,53.0,"Drama, Romance",04/14/1999,1h 39m,Catherine Breillat,https://www.themoviedb.org/movie/26338
1915,Left Behind,42.0,"Thriller, Action, Science Fiction",10/03/2014,1h 50m,Vic Armstrong,https://www.themoviedb.org/movie/218043
1916,Ghosts of Girlfriends Past,59.0,"Fantasy, Comedy, Romance",05/01/2009,1h 55m,Mark Waters,https://www.themoviedb.org/movie/12556
1917,In the Name of the King 2: Two Worlds,39.0,"Adventure, Fantasy, Drama, Action",11/03/2011,1h 36m,Michael Nachoff,https://www.themoviedb.org/movie/80410
1918,Boyz n the Hood,76.0,"Drama, Crime",07/12/1991,1h 52m,John Singleton,https://www.themoviedb.org/movie/650
1919,Barbie: The Pearl Princess,70,"Family, Animation",02/15/2014,1h 13m,Ezekiel Norton,https://www.themoviedb.org/movie/255718
1920,Born to Race: Fast Track,66.0,Action,03/20/2014,1h 34m,Alex Ranarivelo,https://www.themoviedb.org/movie/213927
1921,Woodlawn,70,Drama,10/16/2015,2h 3m,Jon Erwin,https://www.themoviedb.org/movie/333596
1922,The 5th Wave,59.0,"Science Fiction, Adventure, Action",01/15/2016,1h 52m,J Blakeson,https://www.themoviedb.org/movie/299687
1923,Scars,72.0,Drama,09/16/2005,1h 45m,Paco del Toro,https://www.themoviedb.org/movie/74078
1924,Yes Day,69.0,"Comedy, Family",03/12/2021,1h 26m,Miguel Arteta,https://www.themoviedb.org/movie/638597
1925,Castle Freak,49.0,Horror,12/04/2020,1h 46m,Tate Steinsiek,https://www.themoviedb.org/movie/593655
1926,The Mad Women's Ball,72.0,"Drama, Thriller, History",09/17/2021,2h 2m,Mélanie Laurent,https://www.themoviedb.org/movie/680531
1927,Jack and Jill,43.0,Comedy,11/11/2011,1h 31m,Dennis Dugan,https://www.themoviedb.org/movie/71880
1928,Latte and the Magic Waterstone,55.0,"Animation, Adventure, Family, Comedy",01/27/2022,1h 29m,Andrea Deppert,https://www.themoviedb.org/movie/586954
1929,Father Stu,71.0,Drama,04/13/2022,2h 4m,Rosalind Ross,https://www.themoviedb.org/movie/809140
1930,The Wrong Missy,62.0,"Comedy, Romance",05/13/2020,1h 30m,Tyler Spindel,https://www.themoviedb.org/movie/582596
1931,Resident Evil: Vendetta,69.0,"Animation, Horror, Adventure, Mystery, Action, Science Fiction",05/27/2017,1h 37m,Takanori Tsujimoto,https://www.themoviedb.org/movie/400136
1932,Dragon Blade,63.0,"Adventure, History",02/19/2015,2h 7m,Daniel Lee Yan-Kong,https://www.themoviedb.org/movie/300168
1933,Azor,63.0,"Drama, Thriller",01/27/2022,1h 40m,Andreas Fontana,https://www.themoviedb.org/movie/659954
1934,The Amityville Horror,61.0,Horror,04/15/2005,1h 30m,Kathy Lutz,https://www.themoviedb.org/movie/10065
1935,Spider-Man 2,72.0,"Action, Adventure, Fantasy",07/23/2004,2h 7m,Sam Raimi,https://www.themoviedb.org/movie/558
1936,Kick-Ass 2,64.0,"Action, Adventure, Crime",08/16/2013,1h 43m,Jeff Wadlow,https://www.themoviedb.org/movie/59859
1937,Dune,62.0,"Action, Science Fiction, Adventure",12/14/1984,2h 17m,David Lynch,https://www.themoviedb.org/movie/841
1938,Haunting of the Mary Celeste,58.0,Horror,10/23/2020,1h 14m,David Ross,https://www.themoviedb.org/movie/756278
1939,Winchester,59.0,"Horror, Thriller",02/02/2018,1h 40m,Peter Spierig,https://www.themoviedb.org/movie/416234
1940,The Lego Movie 2: The Second Part,67.0,"Action, Adventure, Animation, Comedy, Family",02/08/2019,1h 46m,Christopher Miller,https://www.themoviedb.org/movie/280217
1941,My Best Friend's Girl,57.0,"Romance, Comedy",09/19/2008,1h 41m,Howard Deutch,https://www.themoviedb.org/movie/13596
1942,It Follows,66.0,"Horror, Mystery",03/27/2015,1h 41m,David Robert Mitchell,https://www.themoviedb.org/movie/270303
1943,Everest,68.0,"Drama, Adventure, History",09/18/2015,2h 1m,Baltasar Kormákur,https://www.themoviedb.org/movie/253412
1944,Camp Cool Kids,57.0,Family,08/25/2019,1h 44m,Lisa Arnold,https://www.themoviedb.org/movie/467988
1945,Zathura: A Space Adventure,64.0,"Family, Fantasy, Science Fiction, Adventure, Comedy",11/11/2005,1h 41m,Jon Favreau,https://www.themoviedb.org/movie/6795
1946,The Ridiculous 6,52.0,"Western, Comedy",12/11/2015,1h 59m,Frank Coraci,https://www.themoviedb.org/movie/347969
1947,Goyo: En Letra de Otro,20,Music,03/04/2022,46m,Simón Brand,https://www.themoviedb.org/movie/940399
1948,Constantine: The House of Mystery,0,"Fantasy, Animation, Horror, Action",05/03/2022,27m,Alan Moore,https://www.themoviedb.org/movie/791348
1949,A Tale of Two Sisters,71.0,"Drama, Horror, Mystery",06/13/2003,1h 55m,Kim Jee-woon,https://www.themoviedb.org/movie/4552
1950,Toy Story That Time Forgot,70,"Animation, Family, Adventure, Comedy",12/02/2014,22m,Steve Purcell,https://www.themoviedb.org/movie/256835
1951,Star Wars: Episode III - Revenge of the Sith,74.0,"Science Fiction, Adventure, Action",05/20/2005,2h 20m,George Lucas,https://www.themoviedb.org/movie/1895
1952,Eternal Sunshine of the Spotless Mind,81.0,"Science Fiction, Drama, Romance",03/19/2004,1h 48m,Michel Gondry,https://www.themoviedb.org/movie/38
1953,JJ+E,54.0,"Romance, Drama",09/08/2021,1h 30m,Alexis Almström,https://www.themoviedb.org/movie/726916
1954,Justice League: Doom,75.0,"Action, Animation, Science Fiction",02/28/2012,1h 17m,Lauren Montgomery,https://www.themoviedb.org/movie/76589
1955,Kiki's Delivery Service,78.0,"Animation, Family, Fantasy, Adventure",07/29/1989,1h 43m,Hayao Miyazaki,https://www.themoviedb.org/movie/16859
1956,The Scorpion King 3: Battle for Redemption,45.0,"Action, Adventure, Fantasy, Drama",01/17/2012,1h 46m,Roel Reiné,https://www.themoviedb.org/movie/78049
1957,Ray Donovan: The Movie,69.0,"Drama, TV Movie",01/15/2022,1h 40m,David Hollander,https://www.themoviedb.org/movie/800425
1958,Mercenaries,54.0,Action,08/05/2014,1h 30m,Christopher Ray,https://www.themoviedb.org/movie/277597
1959,Kizumonogatari Part 2: Nekketsu,81.0,"Animation, Fantasy, Mystery",08/19/2016,1h 4m,Tatsuya Oishi,https://www.themoviedb.org/movie/362584
1960,The Mummy: Tomb of the Dragon Emperor,54.0,"Adventure, Action, Fantasy",07/31/2008,1h 52m,Rob Cohen,https://www.themoviedb.org/movie/1735
1961,The Longest Yard,66.0,Comedy,05/27/2005,1h 53m,Peter Segal,https://www.themoviedb.org/movie/9291
1962,8-Bit Christmas,65.0,"Family, Comedy",11/24/2021,1h 38m,Michael Dowse,https://www.themoviedb.org/movie/802217
1963,Mission: Impossible - Rogue Nation,72.0,"Action, Adventure",08/07/2015,2h 11m,Christopher McQuarrie,https://www.themoviedb.org/movie/177677
1964,The Bourne Legacy,62.0,"Action, Thriller",08/10/2012,2h 15m,Tony Gilroy,https://www.themoviedb.org/movie/49040
1965,"No eres tú, soy yo",72.0,"Drama, Comedy, Romance",08/27/2010,1h 40m,Alejandro Springall,https://www.themoviedb.org/movie/64694
1966,Age of Tomorrow,29.0,"Thriller, Science Fiction, Action",06/10/2014,1h 30m,James Kondelik,https://www.themoviedb.org/movie/275619
1967,Star Wars: Episode I - The Phantom Menace,65.0,"Adventure, Action, Science Fiction",05/19/1999,2h 16m,George Lucas,https://www.themoviedb.org/movie/1893
1968,Inuyasha the Movie 3: Swords of an Honorable Ruler,78.0,"Animation, Fantasy, Adventure",12/20/2003,1h 39m,Toshiya Shinohara,https://www.themoviedb.org/movie/34295
1969,Missing Link,70,"Family, Animation, Comedy, Adventure, Fantasy",04/12/2019,1h 35m,Chris Butler,https://www.themoviedb.org/movie/458253
1970,Porno,65.0,"Comedy, Horror",05/08/2020,1h 38m,Keola Racela,https://www.themoviedb.org/movie/576004
1971,Be Careful What You Wish For,66.0,Horror,04/24/2020,1h 31m,Agustín Oso Tapia,https://www.themoviedb.org/movie/681429
1972,Escape Plan 2: Hades,51.0,Action,06/29/2018,1h 36m,Steven C. Miller,https://www.themoviedb.org/movie/440471
1973,Rocky V,57.0,Drama,11/16/1990,1h 44m,John G. Avildsen,https://www.themoviedb.org/movie/1375
1974,Instant Family,76.0,"Comedy, Drama",11/16/2018,1h 58m,Sean Anders,https://www.themoviedb.org/movie/491418
1975,Terminator 3: Rise of the Machines,61.0,"Action, Thriller, Science Fiction",07/25/2003,1h 49m,Michael Ferris,https://www.themoviedb.org/movie/296
1976,How I Fell in Love with a Gangster,67.0,"Crime, Drama",01/05/2022,2h 59m,Maciej Kawulski,https://www.themoviedb.org/movie/809972
1977,The Orphanage,72.0,"Horror, Drama, Thriller",10/11/2007,1h 45m,J. A. Bayona,https://www.themoviedb.org/movie/6537
1978,The Lost Prince,58.0,"Fantasy, Adventure, Comedy",02/12/2020,1h 41m,Michel Hazanavicius,https://www.themoviedb.org/movie/520725
1979,The Mummy,55.0,"Fantasy, Thriller, Action, Adventure, Horror",06/09/2017,1h 50m,Alex Kurtzman,https://www.themoviedb.org/movie/282035
1980,Ghostbusters,75.0,"Comedy, Fantasy",06/08/1984,1h 47m,Ivan Reitman,https://www.themoviedb.org/movie/620
1981,Assassin's Creed,54.0,"Action, Adventure, Science Fiction",12/21/2016,1h 55m,Justin Kurzel,https://www.themoviedb.org/movie/121856
1982,Death Note,42.0,"Crime, Drama, Fantasy, Horror, Thriller",08/25/2017,1h 41m,Adam Wingard,https://www.themoviedb.org/movie/351460
